Jogadores,Nacionalidade,Posição,Idade,Desarmes,Desarmes que Geram Posse,Desarmes no Terço Defensivo,Desarmes no Terço Central,Desarmes no Terço Ofensivo,Desarmes de Dribladores,Tentativas de Desarme de Drible,Desarmes Perdidos,Bloqueios,Chutes Bloqueados,Passes Bloqueados,Interceptação,Afastamentos,Erros que Geram Chute,Temporada
Vinicius Tobias,Brasil,Defensor,19,,1,,,,,,,,,,0,,,2024
Mario Martín,Espanha,Meio Campista,19,5,1,0,2,3,3,4,1,2,1,1,0,0,0,2024
Gonzalo García,Espanha,Meio Campista,19,0,0,0,0,0,0,1,1,1,1,0,0,1,0,2024
Álvaro Rodríguez,Uruguai,Atacante,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024
Vinicius Júnior,Brasil,Atacante,22,40,36,17,15,8,18,51,33,32,1,31,8,2,0,2023
Thibaut Courtois,Bélgica,Goleiro,30,2,1,2,0,0,1,3,2,0,0,0,3,10,2,2023
Éder Militão,Brasil,Defensor,24,56,45,32,21,3,34,46,12,78,46,32,63,141,2,2023
Federico Valverde,Uruguai,"Meio Campista, Atacante",24,49,35,20,18,11,22,46,24,48,5,43,35,28,0,2023
Rodrygo,Brasil,Atacante,21,24,17,6,10,8,7,31,24,36,4,32,19,11,0,2023
Antonio Rüdiger,Alemanha,Defensor,29,28,26,17,10,1,20,29,9,30,15,15,29,100,0,2023
Toni Kroos,Alemanha,Meio Campista,32,77,57,27,45,5,34,87,53,30,6,24,36,13,0,2023
Karim Benzema,França,Atacante,34,11,9,3,4,4,2,12,10,16,0,16,2,13,0,2023
Eduardo Camavinga,França,"Meio Campista, Defensor",19,94,87,49,27,18,35,96,61,36,5,31,29,36,0,2023
Dani Carvajal,Espanha,Defensor,30,50,35,25,18,7,28,54,26,39,10,29,25,69,0,2023
Luka Modrić,Cróacia,Meio Campista,36,23,17,8,7,8,12,30,18,17,6,11,22,14,0,2023
David Alaba,Áustria,Defensor,30,23,16,10,9,4,14,27,13,30,17,13,23,49,1,2023
Aurélien Tchouaméni,França,Meio Campista,22,74,48,27,41,6,28,43,15,25,6,19,59,53,0,2023
