Jogador,Nacionalidade,Posição,Idade,Cartões Amarelos,Cartões Vermelhos,2° Cartões Amarelos,Faltas Cometidas,Faltas Sofridas,Impedimentos,Cruzamentos,Interceptações,Desarmes Ganhos,Pênaltis Convertidos,Pênaltis Cometidos,Gols Contras,Bolas Perdidas Recuperadas,Duelos Aéreos Ganhos,Duelos Aéreos Perdidos,Temporada
Nicolás Paz,Argentina,Meio Campista,18,0,0,0,2,1,0,2,1,2,0,0,0,6,2,1,2024
Álvaro Carrillo,Espanha,Defensor,21,0,0,0,0,1,0,1,2,2,,,0,,,,2024
Vinicius Tobias,Brasil,Defensor,19,0,0,0,1,3,0,2,0,1,,,0,,,,2024
Mario Martín,Espanha,Meio Campista,19,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,2024
Gonzalo García,Espanha,Meio Campista,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2024
Álvaro Rodríguez,Uruguai,Atacante,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2024
Vinicius Júnior,Brasil,Atacante,22,16,1,0,68,185,33,96,8,36,1,0,0,138,3,8,2023
Thibaut Courtois,Bélgica,Goleiro,30,1,0,0,0,3,0,0,3,1,0,0,0,67,13,0,2023
Éder Militão,Brasil,Defensor,24,9,0,0,60,60,2,19,63,45,1,1,1,197,77,41,2023
Federico Valverde,Uruguai,"Meio Campista, Atacante",24,6,0,0,32,24,6,61,35,35,0,0,0,177,38,16,2023
Rodrygo,Brasil,Atacante,21,4,0,0,29,74,15,40,19,17,3,0,0,86,19,31,2023
Antonio Rüdiger,Alemanha,Defensor,29,2,0,0,18,9,2,6,29,26,0,0,0,192,47,27,2023
Toni Kroos,Alemanha,Meio Campista,32,4,1,1,42,54,0,178,36,57,0,1,0,208,9,6,2023
Karim Benzema,França,Atacante,34,1,0,0,18,9,29,5,2,9,2,0,0,47,17,23,2023
Eduardo Camavinga,França,"Meio Campista, Defensor",19,13,0,0,66,105,4,11,29,87,0,0,0,175,25,14,2023
Dani Carvajal,Espanha,Defensor,30,12,1,1,40,31,7,79,25,35,0,1,0,146,16,16,2023
Luka Modrić,Cróacia,Meio Campista,36,7,0,0,29,26,4,96,22,17,0,0,0,130,17,18,2023
David Alaba,Áustria,Defensor,30,4,0,0,12,3,0,46,23,16,0,1,0,132,13,16,2023
Aurélien Tchouaméni,França,Meio Campista,22,3,0,0,45,41,0,13,59,48,0,0,0,160,54,29,2023
Nacho,Espanha,Defensor,32,9,0,0,36,25,6,24,45,27,0,0,1,120,43,24,2023
Ferland Mendy,França,Defensor,27,4,0,0,11,23,0,11,18,17,0,1,0,99,8,8,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,1,0,0,17,23,6,102,11,10,1,1,0,55,4,3,2023
Dani Ceballos,Espanha,Meio Campista,25,9,0,0,24,54,1,18,32,33,0,0,0,141,4,8,2023
Lucas Vázquez,Espanha,Defensor,31,3,0,0,28,25,3,53,11,27,1,0,0,74,1,5,2023
Andriy Lunin,Ucrânia,Goleiro,23,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,2023
