Jogador,Nacionalidade,Posição,Idade,Passes c/ Bola Rolando,Passes c/ Bola Parada,Passes Em Faltas,Passes em Profundidade,Inversões de Jogo,Cruzamentos,Bolas de Lateral,Escanteios Cobrados,Passes Para Impedimentos,Passes Interceptados pelo Adversário,Temporada
Toni Kroos,Alemanha,Meio Campista,32,3076,298,163,4,52,178,18,116,17,23,2023
Karim Benzema,França,Atacante,34,1310,67,4,11,7,5,4,10,8,31,2023
Eduardo Camavinga,França,"Meio Campista, Defensor",19,1822,143,44,5,11,11,99,0,9,26,2023
Dani Carvajal,Espanha,Defensor,30,1725,230,24,3,10,79,205,1,2,38,2023
Luka Modrić,Cróacia,Meio Campista,36,1981,136,55,10,28,96,11,58,2,26,2023
David Alaba,Áustria,Defensor,30,1529,127,52,4,3,46,64,5,9,15,2023
Aurélien Tchouaméni,França,Meio Campista,22,2026,47,46,9,9,13,1,0,2,12,2023
Nacho,Espanha,Defensor,32,1350,148,36,0,6,24,108,0,0,12,2023
Ferland Mendy,França,Defensor,27,1043,121,21,0,4,11,100,0,2,11,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,911,90,21,7,10,102,12,55,5,30,2023
Dani Ceballos,Espanha,Meio Campista,25,1521,60,27,6,27,18,20,11,10,27,2023
Lucas Vázquez,Espanha,Defensor,31,967,124,15,2,8,53,109,0,4,14,2023
Andriy Lunin,Ucrânia,Goleiro,23,218,52,6,0,1,0,0,0,0,1,2023
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,164,10,2,0,0,0,3,2,0,3,2023
Mariano,República Dominicana,Atacante,28,43,1,0,0,1,0,0,0,1,0,2023
Álvaro Rodríguez,Uruguai,Atacante,18,12,0,0,0,0,0,0,0,0,0,2023
Casemiro,Brasil,Meio Campista,30,8,0,0,0,1,0,0,0,0,0,2023
Álvaro Odriozola,Espanha,Defensor,26,25,3,0,0,0,3,3,0,0,0,2023
Jesús Vallejo,Espanha,Defensor,25,28,1,0,0,1,1,0,0,0,1,2023
Sergio Arribas,Espanha,Meio Campista,20,9,2,0,0,0,1,0,2,0,0,2023
Mario Martín,Espanha,Meio Campista,18,,,,,,0,,,,,2023
Thibaut Courtois,Bélgica,Goleiro,29,1307,324,64,0,4,0,0,0,5,0,2022
Éder Militão,Brasil,Defensor,23,2507,173,79,6,32,13,24,0,14,27,2022
Vinicius Júnior,Brasil,Atacante,21,1703,29,5,8,14,62,16,7,7,51,2022
David Alaba,Áustria,Defensor,29,2540,100,52,7,4,58,38,5,6,13,2022
Casemiro,Brasil,Meio Campista,29,2476,63,55,11,49,21,3,0,7,23,2022
Karim Benzema,França,Atacante,33,1679,73,4,10,11,20,2,10,15,42,2022
Luka Modrić,Cróacia,Meio Campista,35,2345,158,89,16,45,63,14,40,8,47,2022
Toni Kroos,Alemanha,Meio Campista,31,2814,265,138,5,91,132,13,114,16,20,2022
Federico Valverde,Uruguai,"Meio Campista, Atacante",23,1558,23,9,4,21,33,13,1,8,30,2022
Ferland Mendy,França,Defensor,26,1603,212,18,1,11,41,194,0,3,32,2022
Dani Carvajal,Espanha,Defensor,29,1605,248,28,4,16,61,219,0,3,25,2022
Nacho,Espanha,Defensor,31,1268,108,29,0,9,17,64,0,4,10,2022
Lucas Vázquez,Espanha,"Defensor, Atacante",30,1641,161,25,2,32,98,131,4,4,19,2022
Rodrygo,Brasil,"Atacante, Meio Campista",20,853,45,4,2,1,64,11,28,7,27,2022
Marco Asensio,Espanha,"Atacante, Meio Campista",25,892,89,15,3,16,81,17,50,5,27,2022
Eduardo Camavinga,França,Meio Campista,18,1004,24,18,7,9,3,5,0,2,13,2022
Eden Hazard,Bélgica,Atacante,30,443,17,3,1,1,16,7,6,3,5,2022
Marcelo,Brasil,Defensor,33,487,48,5,1,12,36,42,1,1,11,2022
Luka Jović,Sérvia,Atacante,23,101,5,1,1,2,0,0,0,0,2,2022
Isco,Espanha,"Atacante, Meio Campista",29,250,18,9,4,2,10,1,7,3,3,2022
Mariano,República Dominicana,Atacante,27,56,7,0,2,1,1,0,0,0,2,2022
Andriy Lunin,Ucrânia,Goleiro,22,54,26,3,0,0,0,0,0,0,0,2022
Jesús Vallejo,Espanha,Defensor,24,210,17,2,0,2,1,9,0,0,3,2022
Dani Ceballos,Espanha,"Meio Campista, Atacante",24,272,5,4,2,4,1,1,0,0,5,2022
Miguel Gutiérrez,Espanha,Defensor,20,204,37,4,0,4,13,33,0,0,6,2022
Gareth Bale,País de Gales,Atacante,32,64,1,0,0,1,3,0,0,3,2,2022
Antonio Blanco,Espanha,Meio Campista,21,35,0,0,0,0,0,0,0,0,0,2022
Peter González,República Dominicana,"Meio Campista, Defensor",19,17,1,0,0,0,1,1,0,0,1,2022
Mario Gila,Espanha,Defensor,20,21,1,0,0,0,0,0,0,0,0,2022
Sergio Santos,Espanha,Defensor,20,7,1,0,0,0,1,1,0,0,0,2022
Juanmi Latasa,Espanha,Atacante,20,5,0,0,0,0,0,0,0,0,1,2022
Thibaut Courtois,Bélgica,Goleiro,28,1376,400,79,0,5,0,1,0,2,1,2021
Casemiro,Brasil,Meio Campista,28,2548,56,50,2,46,34,6,0,11,43,2021
Karim Benzema,França,Atacante,32,1514,78,2,4,14,22,1,3,7,34,2021
Luka Modrić,Cróacia,Meio Campista,34,3012,171,104,12,75,96,19,48,10,43,2021
Raphaël Varane,França,Defensor,27,2365,75,65,0,34,3,10,0,2,20,2021
Ferland Mendy,França,Defensor,25,1882,266,14,0,15,49,252,0,4,39,2021
Toni Kroos,Alemanha,Meio Campista,30,2871,340,161,9,96,185,9,170,10,22,2021
Lucas Vázquez,Espanha,"Defensor, Atacante",29,1902,202,11,0,33,144,190,1,5,37,2021
Nacho,Espanha,Defensor,30,1625,90,38,0,19,25,52,0,4,12,2021
Vinicius Júnior,Brasil,Atacante,20,1016,20,3,3,7,55,16,1,3,29,2021
Marco Asensio,Espanha,Atacante,24,1257,72,14,2,18,128,23,35,7,46,2021
Federico Valverde,Uruguai,"Meio Campista, Defensor",22,1056,27,3,1,12,31,24,0,4,18,2021
Sergio Ramos,Espanha,Defensor,34,1457,33,27,0,54,2,6,0,3,10,2021
Éder Militão,Brasil,Defensor,22,1072,41,20,0,19,4,21,0,3,3,2021
Marcelo,Brasil,Defensor,32,878,114,14,1,11,69,100,0,6,19,2021
Rodrygo,Brasil,"Atacante, Meio Campista",19,553,8,0,2,1,38,6,2,2,19,2021
Dani Carvajal,Espanha,Defensor,28,820,130,13,0,8,32,117,0,4,19,2021
Isco,Espanha,"Atacante, Meio Campista",28,757,47,19,0,4,37,10,17,10,11,2021
Álvaro Odriozola,Espanha,Defensor,24,395,85,4,0,2,47,81,0,0,9,2021
Eden Hazard,Bélgica,Atacante,29,490,9,4,1,3,6,2,2,1,12,2021
Mariano,República Dominicana,Atacante,26,116,13,0,0,2,0,2,0,0,5,2021
Martin Ødegaard,Noruega,Meio Campista,21,239,14,3,2,0,13,0,11,3,4,2021
Miguel Gutiérrez,Espanha,"Defensor, Meio Campista",19,247,36,1,1,1,19,35,0,0,7,2021
Antonio Blanco,Espanha,Meio Campista,20,168,1,1,0,1,2,0,0,2,2,2021
Víctor Chust,Espanha,Defensor,20,73,3,2,0,0,0,1,0,0,0,2021
Luka Jović,Sérvia,Atacante,22,46,7,0,0,0,1,0,0,0,3,2021
Sergio Arribas,Espanha,Atacante,18,110,2,0,1,0,1,2,0,1,3,2021
Marvin,Espanha,Atacante,20,74,10,0,0,0,4,10,0,1,3,2021
Andriy Lunin,Ucrânia,Goleiro,21,,,,,,0,,,,,2021
Hugo Duro,Espanha,Atacante,20,14,0,0,0,0,0,0,0,0,1,2021
Borja Mayoral,Espanha,Atacante,23,5,0,0,0,1,0,0,0,0,0,2021
Casemiro,Brasil,Meio Campista,27,2622,73,73,8,72,32,0,0,8,32,2020
Karim Benzema,França,Atacante,31,1527,72,3,12,17,26,0,1,7,29,2020
Thibaut Courtois,Bélgica,Goleiro,27,978,332,72,0,1,0,0,0,4,1,2020
Raphaël Varane,França,Defensor,26,2126,78,69,1,43,3,9,0,6,13,2020
Sergio Ramos,Espanha,Defensor,33,2417,87,79,1,79,3,8,0,6,10,2020
Dani Carvajal,Espanha,Defensor,27,2525,392,30,5,24,144,362,0,8,54,2020
Toni Kroos,Alemanha,Meio Campista,29,2707,311,131,6,96,189,10,170,16,18,2020
Federico Valverde,Uruguai,Meio Campista,21,1310,12,6,6,13,26,6,0,2,19,2020
Luka Modrić,Cróacia,Meio Campista,33,1677,84,53,7,40,72,2,28,9,24,2020
Ferland Mendy,França,Defensor,24,1294,222,10,0,24,89,212,0,1,32,2020
Marcelo,Brasil,Defensor,31,1116,152,13,2,19,101,138,1,4,23,2020
Vinicius Júnior,Brasil,Atacante,19,616,6,3,2,1,46,3,0,2,29,2020
Isco,Espanha,"Meio Campista, Atacante",27,1025,35,15,8,10,45,8,11,3,24,2020
Eden Hazard,Bélgica,Atacante,28,844,16,6,2,10,21,5,4,1,14,2020
Éder Militão,Brasil,Defensor,21,824,47,27,1,7,2,20,0,1,10,2020
Rodrygo,Brasil,Atacante,18,629,16,1,0,3,56,13,2,3,14,2020
Gareth Bale,País de Gales,"Atacante, Meio Campista",30,522,15,0,0,15,49,15,0,5,12,2020
Lucas Vázquez,Espanha,"Atacante, Meio Campista",28,590,44,2,3,6,59,39,3,2,8,2020
Luka Jović,Sérvia,Atacante,21,167,10,0,1,3,0,1,0,1,2,2020
Alphonse Areola,França,Goleiro,26,136,57,17,0,0,0,0,0,0,0,2020
