Jogador,Nacionalidade,Posição,Idade,Ações Criadoras de Chute,Passes p/ Chute (Jogo Corrido),Passes p/ Chute (Bola Parada),Dribles Criadores de Chute,Chutes Criadores de Novo Chute,Faltas Sofridas p/ Chute,Recuperações para Chute,Ações Criadoras de Gol,Temporada
Ferland Mendy,França,Defensor,27,35,31,1,1,0,1,1,3,2023
Marco Asensio,Espanha,"Atacante, Meio Campista",26,93,62,18,6,4,3,0,15,2023
Dani Ceballos,Espanha,Meio Campista,25,85,63,9,5,2,5,1,9,2023
Lucas Vázquez,Espanha,Defensor,31,49,40,2,2,1,3,1,4,2023
Andriy Lunin,Ucrânia,Goleiro,23,0,0,0,0,0,0,0,0,2023
Eden Hazard,Bélgica,"Atacante, Meio Campista",31,24,19,1,1,1,2,0,3,2023
Mariano,República Dominicana,Atacante,28,1,1,0,0,0,0,0,0,2023
Álvaro Rodríguez,Uruguai,Atacante,18,1,1,0,0,0,0,0,1,2023
Casemiro,Brasil,Meio Campista,30,0,0,0,0,0,0,0,0,2023
Álvaro Odriozola,Espanha,Defensor,26,3,2,0,0,0,1,0,0,2023
Jesús Vallejo,Espanha,Defensor,25,0,0,0,0,0,0,0,0,2023
Sergio Arribas,Espanha,Meio Campista,20,3,2,1,0,0,0,0,0,2023
Mario Martín,Espanha,Meio Campista,18,,,,,,,,,2023
Thibaut Courtois,Bélgica,Goleiro,29,4,3,1,0,0,0,0,0,2022
Éder Militão,Brasil,Defensor,23,40,30,1,0,4,3,2,5,2022
Vinicius Júnior,Brasil,Atacante,21,242,173,1,33,10,22,3,38,2022
David Alaba,Áustria,Defensor,29,54,45,2,1,4,0,2,8,2022
Casemiro,Brasil,Meio Campista,29,86,73,1,2,3,5,2,12,2022
Karim Benzema,França,Atacante,33,176,148,0,18,8,2,0,29,2022
Luka Modrić,Cróacia,Meio Campista,35,116,97,11,3,4,0,1,17,2022
Toni Kroos,Alemanha,Meio Campista,31,120,84,31,2,0,2,1,6,2022
Federico Valverde,Uruguai,"Meio Campista, Atacante",23,88,74,2,4,4,2,2,7,2022
Ferland Mendy,França,Defensor,26,72,60,3,8,0,1,0,7,2022
Dani Carvajal,Espanha,Defensor,29,60,56,1,2,0,0,1,7,2022
